DATE,BOGZ1FL594090005Q
2010-01-01,14922646.0
2010-04-01,14918675.0
2010-07-01,15446811.0
2010-10-01,15916704.0
2011-01-01,16201492.0
2011-04-01,16311977.0
2011-07-01,15995677.0
2011-10-01,16313773.0
2012-01-01,16741097.0
2012-04-01,16748524.0
2012-07-01,17028472.0
2012-10-01,17148535.0
2013-01-01,17774519.0
2013-04-01,18165543.0
2013-07-01,18747293.0
2013-10-01,19402638.0
2014-01-01,19574964.0
2014-04-01,19837601.0
2014-07-01,19898600.0
2014-10-01,20106893.0
2015-01-01,20295646.0
2015-04-01,20371491.0
2015-07-01,20154210.0
2015-10-01,20412990.0
2016-01-01,20593984.0
2016-04-01,20791309.0
2016-07-01,21082548.0
2016-10-01,21239427.0
2017-01-01,21634065.0
2017-04-01,21934400.0
2017-07-01,22274731.0
2017-10-01,22649384.0
2018-01-01,22700028.0
2018-04-01,22914245.0
2018-07-01,23262586.0
2018-10-01,22639123.0
2019-01-01,23354763.0
2019-04-01,23729791.0
2019-07-01,23914191.0
2019-10-01,24450578.0
2020-01-01,23442834.0
2020-04-01,24476928.0
2020-07-01,25008349.0
2020-10-01,25903462.0
2021-01-01,26262977.0
2021-04-01,26864772.0
2021-07-01,26911585.0
2021-10-01,27451810.0
2022-01-01,26490195.0
2022-04-01,24901621.0
2022-07-01,24098301.0
2022-10-01,24088251.0
2023-01-01,24662545.0
2023-04-01,25210552.0
2023-07-01,25051988.0
